instance_type,vcpus,arch,memory_gb,storage_gb,storage_type,network,cost_per_hour_usd
r6idn.12xlarge,48,x86_64,384,2850,ssd,75 Gigabit,4.68936
r6id.16xlarge,64,x86_64,512,3800,ssd,25 Gigabit,4.8384
m5ad.24xlarge,96,x86_64,384,3600,ssd,20 Gigabit,4.944
m6idn.16xlarge,64,x86_64,256,3800,ssd,100 Gigabit,5.09184
r5dn.16xlarge,64,x86_64,512,2400,ssd,75 Gigabit,5.344
m5d.24xlarge,96,x86_64,384,3600,ssd,25 Gigabit,5.424
g5.12xlarge,48,x86_64,192,3800,ssd,40 Gigabit,5.672
r6idn.16xlarge,64,x86_64,512,3800,ssd,100 Gigabit,6.25248
r5ad.24xlarge,96,x86_64,768,3600,ssd,20 Gigabit,6.288
m5dn.24xlarge,96,x86_64,384,3600,ssd,100 Gigabit,6.528
x1.16xlarge,64,x86_64,976,1920,ssd,10 Gigabit,6.669
x2ldn.16xlarge,64,x86_64,1024,1900,ssd,50 Gigabit,6.669
x2ledn.8xlarge,32,x86_64,1024,950,ssd,25 Gigabit,6.669
x1e.6xlarge,24,x86_64,976,960,ssd,Up to 12.5 Gigabit,6.672
g6.24xlarge,96,x86_64,384,3760,ssd,50 Gigabit,6.6752
p5.48xlarge,16,x86_64,256,3800,ssd,100 Gigabit,6.88
r5d.24xlarge,96,x86_64,768,3600,ssd,25 Gigabit,6.912
g6e.16xlarge,64,x86_64,512,1900,ssd,55 Gigabit,7.57719
r5dn.24xlarge,96,x86_64,768,3600,ssd,100 Gigabit,8.016
g5.24xlarge,96,x86_64,384,3800,ssd,50 Gigabit,8.144
